# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "4" "-p" "-a" "annotations/Homo_sapiens.GRCh38.chrX.gtf" "-o" "alignments/counts.txt" "alignments/SRR5223500Aligned.sortedByCoord.out.bam" "alignments/SRR5223505Aligned.sortedByCoord.out.bam" "alignments/SRR5223522Aligned.sortedByCoord.out.bam" "alignments/SRR5223543Aligned.sortedByCoord.out.bam" "alignments/SRR5223547Aligned.sortedByCoord.out.bam" "alignments/SRR5223570Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/SRR5223500Aligned.sortedByCoord.out.bam	alignments/SRR5223505Aligned.sortedByCoord.out.bam	alignments/SRR5223522Aligned.sortedByCoord.out.bam	alignments/SRR5223543Aligned.sortedByCoord.out.bam	alignments/SRR5223547Aligned.sortedByCoord.out.bam	alignments/SRR5223570Aligned.sortedByCoord.out.bam
ENSG00000004961	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	11111301;11111332;11111342;11112019;11112019;11112019;11114835;11114835;11114835;11117267;11117267;11117267;11118501;11118501;11118501;11120907;11120907;11120907;11121612;11121612;11121612	11111460;11111518;11111423;11112160;11112160;11112160;11114986;11114986;11114986;11117415;11117415;11117415;11118620;11118620;11118620;11120993;11120993;11120993;11123086;11123078;11121879	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2343	82	92	33	60	80	24
ENSG00000226774	X	23351013	23351450	+	438	25	43	23	28	45	8
ENSG00000146938	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	5840637;5844434;5890032;5890042;5890278;5892204;5892205;5903077;5903077;5903077;5903077;5903077;5903077;5909054;5909054;5909054;5909054;5909054;6029280;6029280;6029280;6029280;6029280;6032691;6150995;6150995;6150995;6150995;6150995;6151009;6151290;6186772;6187483;6226635;6226880;6227689;6228541;6228541	5840891;5844501;5893666;5893666;5893666;5893666;5893666;5903866;5903866;5903866;5903866;5903866;5903353;5909239;5909239;5909239;5909239;5909239;6029432;6029432;6029432;6029432;6029432;6032750;6151771;6151771;6151466;6151771;6151771;6151771;6151771;6187038;6187789;6226765;6227203;6227847;6228615;6228867	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7439	0	0	0	0	0	0
ENSG00000276467	X	17897711	17900333	-	2623	0	0	0	0	0	0
ENSG00000232392	X;X	11334233;11335688	11335208;11335901	-;-	1190	10	14	10	6	16	2
ENSG00000225384	X	34717440	34717992	-	553	4	4	14	2	2	0
ENSG00000183304	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	8790795;8790795;8791280;8791280;8793658;8793658;8795078;8795078;8796268;8796268;8798150;8798150;8798359;8798359;8798966;8798966;8800081;8800081;8801240;8801311	8791172;8791172;8791379;8791379;8793756;8793756;8795420;8795420;8796382;8796382;8798181;8798181;8798479;8798479;8799094;8799094;8800209;8800209;8801337;8801383	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1590	0	0	0	0	0	0
ENSG00000235592	X;X;X;X;X;X	13327937;13328590;13328764;13329293;13329554;13329796	13327958;13328660;13329175;13329399;13329608;13329867	+;+;+;+;+;+	739	0	0	0	0	0	0
ENSG00000101955	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	38149336;38149336;38149336;38149339;38149351;38149631;38153948;38154462;38154462;38154462;38154462;38156896;38156896;38156896;38156896;38156896;38160017;38160017;38160017;38160017;38160017;38160933;38160933;38160933;38160933;38164769;38164769;38164769;38164769;38171881;38171881;38171881;38174160;38174160;38174160;38174160;38178285;38178285;38178285;38220696;38220696;38220696;38220696	38149894;38149894;38149894;38149894;38149894;38149894;38154032;38154583;38154583;38154583;38154581;38157029;38157029;38157029;38157029;38157029;38160196;38160196;38160196;38160098;38160196;38161054;38161054;38161054;38161054;38164895;38164895;38164895;38164895;38172057;38172057;38172057;38174351;38174351;38174351;38174351;38178344;38178344;38178344;38220924;38220924;38220924;38220871	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1987	0	0	0	0	0	0
ENSG00000226179	X;X	320990;321683	321248;321851	+;+	428	1	3	4	1	0	0
ENSG00000283400	X;X;X;X	20443326;20443784;20474102;20492269	20443626;20443838;20474231;20492349	+;+;+;+	567	0	0	0	0	0	0
ENSG00000126010	X;X;X	16123565;16150305;16152256	16124366;16150656;16153518	+;+;+	2417	0	0	0	0	2	0
ENSG00000283631	X;X	20311838;20317473	20312158;20317783	-;-	632	0	0	0	0	0	0
ENSG00000235211	X	18341216	18341346	+	131	1142	1046	1149	1112	861	203
ENSG00000177324	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	18162931;18170975;18171001;18174030;18174030;18175972;18175972;18177569;18177569;18180510;18180510;18191001;18191001;18195296;18201815;18203501;18203501;18212565;18212565;18213774;18213774;18216521;18216521;18220726;18220726	18165223;18171204;18171204;18174258;18174258;18176093;18176093;18177769;18177769;18180650;18180650;18191108;18191108;18195442;18201940;18203915;18203915;18212680;18212680;18213911;18213911;18216733;18216733;18220750;18220886	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4640	0	0	1	0	0	0
ENSG00000236929	X	15117437	15117768	-	332	332	234	506	288	236	54
ENSG00000214031	X	40760104	40761270	-	1167	1	2	0	0	1	0
ENSG00000147027	X;X;X	34627075;34639247;34656804	34630491;34639387;34657285	-;-;-	4040	0	0	0	0	0	0
ENSG00000233247	X	14244382	14244928	+	547	76	56	44	47	72	14
ENSG00000225066	X	17933349	17934823	+	1475	0	0	0	0	0	0
ENSG00000219870	X	9179385	9179606	+	222	98	121	55	94	94	3
ENSG00000236072	X	34387722	34388464	+	743	0	0	0	0	0	0
ENSG00000185915	X	21654690	21658330	-	3641	22	10	10	10	6	0
ENSG00000091482	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	21705978;21706338;21727291;21733656;21737549;21737549;21737549;21743750;21743750;21743750;21754246;21754246;21754246;21757942;21757942;21757942	21706394;21706394;21727627;21733757;21737697;21737697;21737697;21743836;21743836;21743836;21754302;21754302;21754302;21758078;21758022;21758116	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1324	0	0	0	0	0	0
